node_ID,mean,median,mode
1,75.17212301587301,46.0,41
2,63.64384920634921,45.0,40
3,59.882440476190474,45.0,43
4,76.73462301587301,46.0,42
5,69.5704365079365,45.0,40
6,80.18452380952381,45.0,40
7,78.375,45.0,41
8,60.63095238095238,45.0,42
9,59.89930555555556,45.0,40
10,57.4781746031746,45.0,42
11,42.80109126984127,41.0,44
12,52.960813492063494,44.0,41
13,71.06646825396825,45.0,41
14,69.88888888888889,45.0,39
15,97.12549603174604,45.0,40
16,88.78621031746032,45.0,43
17,98.58035714285714,45.0,41
18,117.55803571428571,45.0,40
19,68.93799603174604,45.0,41
20,120.98561507936508,46.0,41
