timestep,mean,median,mode
T1,40.05,42.5,43
T2,39.75,39.5,45
T3,39.35,38.0,38
T4,38.2,38.0,41
T5,39.25,38.5,36
T6,39.95,41.0,42
T7,39.35,39.5,42
T8,40.7,41.5,42
T9,39.1,38.0,36
T10,41.55,40.5,47
T11,40.85,41.5,45
T12,38.2,39.0,39
T13,38.65,37.5,42
T14,40.4,39.0,39
T15,42.7,43.0,45
T16,40.2,40.0,38
T17,35.9,35.5,36
T18,41.3,41.5,39
T19,40.55,41.5,43
T20,39.95,40.5,37
T21,38.5,37.5,37
T22,39.15,38.0,37
T23,38.75,38.5,41
T24,39.85,40.0,40
T25,40.65,41.0,45
T26,42.15,42.5,42
T27,39.05,39.0,35
T28,41.3,42.5,43
T29,41.35,41.5,40
T30,39.85,39.5,37
T31,38.55,37.5,37
T32,41.45,41.5,46
T33,41.35,40.0,40
T34,41.8,41.5,47
T35,38.55,37.5,36
T36,41.85,42.5,43
T37,40.15,41.5,42
T38,40.05,40.0,46
T39,40.2,39.5,42
T40,42.55,42.0,40
T41,40.5,39.5,42
T42,38.65,39.5,42
T43,39.6,38.5,37
T44,40.0,40.5,44
T45,41.05,41.5,42
T46,40.65,40.5,40
T47,39.0,40.0,42
T48,40.3,39.5,39
T49,40.0,41.0,44
T50,39.5,39.0,42
T51,40.25,40.0,45
T52,40.4,40.5,40
T53,37.2,37.5,38
T54,41.0,40.0,37
T55,41.2,40.5,45
T56,39.9,40.0,41
T57,39.9,39.0,39
T58,41.0,40.0,40
T59,39.2,39.0,43
T60,42.15,41.0,37
T61,41.25,40.5,40
T62,39.9,40.5,39
T63,41.0,43.0,43
T64,41.0,41.0,41
T65,40.0,40.5,42
T66,40.25,39.5,39
T67,39.8,40.0,40
T68,40.3,40.0,46
T69,41.5,42.0,46
T70,42.95,43.5,44
T71,40.25,40.5,42
T72,42.35,42.0,42
T73,43.2,42.5,41
T74,45.2,44.0,46
T75,43.45,43.0,49
T76,42.55,42.5,39
T77,44.7,44.0,42
T78,45.75,46.5,47
T79,46.7,46.5,44
T80,46.75,47.0,48
T81,47.0,47.5,51
T82,48.0,49.0,47
T83,48.85,48.0,46
T84,48.8,48.0,54
T85,50.5,51.0,51
T86,53.25,54.5,49
T87,54.15,55.0,55
T88,55.55,56.5,59
T89,57.6,57.5,57
T90,57.25,58.0,58
T91,58.85,57.5,55
T92,63.3,64.0,64
T93,62.75,62.5,64
T94,64.05,64.0,66
T95,66.2,66.0,63
T96,69.75,68.5,67
T97,108.55,104.5,109
T98,121.9,123.5,128
T99,129.15,127.5,154
T100,136.7,133.5,111
T101,153.2,161.0,113
T102,156.2,162.5,235
T103,166.75,169.5,218
T104,166.55,157.0,181
T105,164.8,178.0,179
T106,161.85,156.5,97
T107,177.4,183.0,170
T108,178.1,179.0,174
T109,180.45,184.0,181
T110,191.4,207.5,174
T111,186.8,184.5,179
T112,188.8,201.0,190
T113,197.25,188.0,193
T114,197.8,197.5,336
T115,207.2,198.5,258
T116,222.4,204.0,124
T117,213.4,203.0,213
T118,211.25,208.5,124
T119,225.8,230.5,226
T120,217.95,218.5,230
T121,215.95,214.0,206
T122,208.1,212.0,209
T123,203.25,209.0,135
T124,206.05,200.5,141
T125,206.0,203.5,203
T126,197.15,188.0,189
T127,200.2,190.0,168
T128,191.2,185.5,307
T129,194.25,188.5,175
T130,194.25,191.0,178
T131,183.95,190.5,205
T132,191.25,183.0,178
T133,52.0,52.5,49
T134,50.15,50.0,49
T135,48.85,50.0,47
T136,48.0,49.0,50
T137,47.45,47.0,48
T138,45.8,45.0,45
T139,46.1,45.5,40
T140,46.7,47.5,48
