Node,N_PRED,MAE,RMSE,MAPE
1,15,0.1239769235253334,0.16031217575073242,128.92074584960938
2,15,0.1076950877904892,0.13361003994941711,133.6752166748047
3,15,0.10105396062135696,0.12748821079730988,129.93675231933594
4,15,0.124496228992939,0.16497167944908142,124.10664367675781
5,15,0.12836602330207825,0.1584840565919876,146.4468536376953
6,15,0.1421588957309723,0.1882421374320984,143.51620483398438
7,15,0.12850502133369446,0.17533127963542938,123.79122924804688
8,15,0.09185463935136795,0.11449777334928513,119.28614044189453
9,15,0.09807370603084564,0.11878995597362518,129.58213806152344
10,15,0.08020078390836716,0.10346445441246033,105.01370239257812
11,15,0.07734046876430511,0.1061810851097107,162.63604736328125
12,15,0.06671749800443649,0.08669106662273407,103.26464080810547
13,15,0.12265149503946304,0.16351832449436188,135.14259338378906
14,15,0.09433157742023468,0.12832070887088776,101.36186218261719
15,15,0.138101264834404,0.21336421370506287,94.80964660644531
16,15,0.1511627733707428,0.2056654393672943,136.5042266845703
17,15,0.1499229222536087,0.22456040978431702,107.31502532958984
18,15,0.19051118195056915,0.2948061227798462,117.51026916503906
19,15,0.10115014761686325,0.14430645108222961,106.56536865234375
20,15,0.17838960886001587,0.28570979833602905,102.51193237304688
Overall,15,0.11983301,0.1740472,122.594864
