Edge,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
1056658511#1M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1057129502#0S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1063243213S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1063243214S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1110179870M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
117207206S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1213892093M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1227950098#0S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1227950100S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1278555477#1S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
363451974S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
377834166M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
377857857M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
607746816#8S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
71523635S,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
